district_code,district_name,population_all_persons_total,population_all_males_total,population_all_females_total,population_all_persons_rural,population_all_males_rural,population_all_females_rural,population_all_persons_urban,population_all_males_urban,population_all_females_urban,population_sc_persons_total,population_sc_males_total,population_sc_females_total,population_sc_persons_rural,population_sc_males_rural,population_sc_females_rural,population_sc_persons_urban,population_sc_males_urban,population_sc_females_urban,adr_persons_total,adr_males_total,adr_females_total,adr_persons_rural,adr_males_rural,adr_females_rural,adr_persons_urban,adr_males_urban,adr_females_urban
1,Araria,2811569.00,1463333.00,1348236.00,2642792.00,1374254.00,1268538.00,168777.00,89079.00,79698.00,206771.00,106933.00,99838.00,197098.00,101777.00,95321.00,9673.00,5156.00,4517.00,53.40,52.31,56.83,54.28,53.56,56.74,48.38,44.38,57.21
2,Arwal,700843.00,363497.00,337346.00,648994.00,336420.00,312574.00,51849.00,27077.00,24772.00,79407.00,41030.00,38377.00,73844.00,38146.00,35698.00,5563.00,2884.00,2679.00,61.10,59.43,67.13,62.21,60.58,68.38,52.37,49.63,59.66
3,Aurangabad,2540073.00,1318684.00,1221389.00,2303219.00,1194619.00,1108600.00,236854.00,124065.00,112789.00,347060.00,180427.00,166633.00,330151.00,171488.00,158663.00,16909.00,8939.00,7970.00,61.53,60.01,66.39,62.91,61.38,68.00,46.69,43.58,53.54
4,Banka,2034763.00,1067140.00,967623.00,1963450.00,1029097.00,934353.00,71313.00,38043.00,33270.00,143048.00,75380.00,67668.00,138512.00,72921.00,65591.00,4536.00,2459.00,2077.00,58.50,57.62,61.55,59.68,58.95,62.24,44.12,39.69,55.05
5,Begusarai,2970541.00,1567660.00,1402881.00,2400718.00,1266308.00,1134410.00,569823.00,301352.00,268471.00,240465.00,127206.00,113259.00,204413.00,107894.00,96519.00,36052.00,19312.00,16740.00,51.32,49.77,55.38,53.99,52.57,57.99,44.67,42.25,49.96
6,Bhagalpur,3037766.00,1615663.00,1422103.00,2435234.00,1295386.00,1139848.00,602532.00,320277.00,282255.00,181931.00,98309.00,83622.00,151223.00,81704.00,69519.00,30708.00,16605.00,14103.00,53.38,52.00,57.28,56.44,55.31,59.99,46.13,43.48,52.20
7,Bhojpur,2728407.00,1430380.00,1298027.00,2338546.00,1224274.00,1114272.00,389861.00,206106.00,183755.00,247586.00,129966.00,117620.00,224933.00,117911.00,107022.00,22653.00,12055.00,10598.00,60.16,58.48,66.21,62.34,60.61,69.09,46.65,43.50,54.05
8,Buxar,1706352.00,887977.00,818375.00,1541853.00,801086.00,740767.00,164499.00,86891.00,77608.00,143263.00,75001.00,68262.00,134485.00,70287.00,64198.00,8778.00,4714.00,4064.00,60.62,59.53,64.63,62.20,61.01,66.83,45.77,43.38,51.06
9,Darbhanga,3937385.00,2059949.00,1877436.00,3554057.00,1858545.00,1695512.00,383328.00,201404.00,181924.00,343629.00,180852.00,162777.00,315870.00,166077.00,149793.00,27759.00,14775.00,12984.00,52.92,51.50,57.28,56.10,54.66,61.10,43.59,41.17,49.07
10,Gaya,4391418.00,2266566.00,2124852.00,3809817.00,1960592.00,1849225.00,581601.00,305974.00,275627.00,755741.00,388610.00,367131.00,713445.00,366476.00,346969.00,42296.00,22134.00,20162.00,61.12,59.09,67.23,63.42,61.30,70.34,47.64,44.23,54.42
