district_code,district_name,population_all_persons_total,population_all_males_total,population_all_females_total,population_all_persons_rural,population_all_males_rural,population_all_females_rural,population_all_persons_urban,population_all_males_urban,population_all_females_urban,population_sc_persons_total,population_sc_males_total,population_sc_females_total,population_sc_persons_rural,population_sc_males_rural,population_sc_females_rural,population_sc_persons_urban,population_sc_males_urban,population_sc_females_urban,adr_persons_total,adr_males_total,adr_females_total,adr_persons_rural,adr_males_rural,adr_females_rural,adr_persons_urban,adr_males_urban,adr_females_urban
1,Bagalkot,1889752,950111,939641,1291906,650267,641639,597846,299844,298002,205664,100227,105437,151701,73953,77748,53963,26274,27689,30.63124091,27.74696769,37.4002855,33.86059888,30.53112507,43.36485165,25.92204268,23.07692308,31.06493506
2,Bangalore,9621551,5022661,4598890,871607,464256,407351,8749944,4558405,4191539,888079,450130,437949,146020,74375,71645,742059,375755,366304,34.77241185,33.42192722,36.55031545,40.58021292,37.94364379,44.6151314,33.97804883,32.75793087,35.55202412
3,Bangalore Rural,990923,509172,481751,722179,371369,350810,268744,137803,130941,158057,79192,78865,134621,67449,67172,23436,11743,11693,42.30819161,39.38490621,46.606093,43.42091095,40.42790283,47.98477537,37.7508269,34.77232407,41.53114836
4,Belgaum,4779661,2423063,2356598,3568466,1811094,1757372,1211195,611969,599226,399194,197922,201272,307234,153044,154190,91960,44878,47082,35.09744373,31.98418171,41.19381597,38.73086597,34.71639632,47.90368272,28.40424687,26.14950137,31.786589
5,Bellary,2452595,1236954,1215641,1532356,774093,758263,920239,462861,457378,337978,167404,170574,235103,116820,118283,102875,50584,52291,34.12532677,31.67687345,38.91607592,35.083445,32.11691308,42.44223023,33.13633649,31.14551084,36.24004505
6,Bidar,1703300,870665,832635,1277348,651250,626098,425952,219415,206537,266324,136141,130183,220047,112546,107501,46277,23595,22682,40.35157166,37.24179558,46.2770489,44.07338519,40.39148672,51.90718583,31.92477029,29.16234957,36.07617679
7,Bijapur,2177331,1111022,1066309,1675353,857562,817791,501978,253460,248518,288453,146129,142324,235982,119899,116083,52471,26230,26241,26.86322179,24.60528305,32.58205689,29.60476424,26.82724744,38.10688406,20.63813624,18.60055978,24.15745856
8,Chamarajanagar,1020791,512231,508560,845817,424884,420933,174974,87347,87627,199612,100267,99345,170372,85665,84707,29240,14602,14638,30.74046643,27.34153264,35.29834651,31.78162147,28.09667674,36.89457883,27.41862226,24.77827051,30.59726393
9,Chikkaballapura,1255104,636437,618667,973985,494463,479522,281119,141974,139145,227717,114214,113503,199673,100153,99520,28044,14061,13983,42.78315213,39.26231169,48.87253184,44.65807892,40.96706081,51.36130071,35.90204898,32.45021937,40.91689139
10,Chikmagalur,1137961,566622,571339,898453,447545,450908,239508,119077,120431,188117,92045,96072,161905,79226,82679,26212,12819,13393,39.52746024,37.59010837,42.11129505,41.83378941,39.65063259,44.89465154,33.36006415,31.62202381,35.39130435
11,Chitradurga,1659456,840843,818613,1329923,675573,654350,329533,165270,164263,280066,141132,138934,239919,121264,118655,40147,19868,20279,29.03321555,25.98437713,34.05959868,30.80798479,27.39852125,36.87575966,23.88980716,21.38789692,27.21787136
12,Dakshina Kannada,2089649,1034714,1054935,1093563,541484,552079,996086,493230,502856,113986,56062,57924,78849,38973,39876,35137,17089,18048,43.15051444,43.5307104,42.7283075,50.1001001,49.56896552,50.72833212,36.27434797,37.19088411,35.31792882
13,Davanagere,1945497,986400,959097,1316487,668267,648220,629010,318133,310877,280031,140469,139562,225120,113060,112060,54911,27409,27502,28.94259614,25.59701493,34.78564446,30.47778926,26.48890619,38.34228703,26.01193117,23.66018597,29.30320596
14,Dharwad,1847023,937206,909817,797484,409416,388068,1049539,527790,521749,125809,62623,63186,48805,24781,24024,77004,37842,39162,26.87935285,25.13792276,29.47701115,34.70360825,31.18821115,42.55939975,25.09478882,23.48750827,27.29297147
15,Gadag,1064570,537147,527423,685261,347585,337676,379309,189562,189747,116868,58400,58468,85075,42869,42206,31793,15531,16262,27.54445195,25.01005497,32.72577772,31.11888112,27.97435017,39.49374809,23.33627365,20.82457559,27.20258835
