district_code,district_name,population_all_persons_total,population_all_males_total,population_all_females_total,population_all_persons_rural,population_all_males_rural,population_all_females_rural,population_all_persons_urban,population_all_males_urban,population_all_females_urban,population_sc_persons_total,population_sc_males_total,population_sc_females_total,population_sc_persons_rural,population_sc_males_rural,population_sc_females_rural,population_sc_persons_urban,population_sc_males_urban,population_sc_females_urban,adr_persons_total,adr_males_total,adr_females_total,adr_persons_rural,adr_males_rural,adr_females_rural,adr_persons_urban,adr_males_urban,adr_females_urban
1,Ahmednagar,4543159,2342825,2200334,3630542,1872907,1757635,912617,469918,442699,573698,291521,282177,443302,225820,217482,130396,65701,64695,51.07756844,48.76510772,60.41870927,53.33639044,50.57448573,58.78617896,45.83028975,44.12613251,53.91330078
2,Akola,1813906,932334,881572,1094165,563933,530232,719741,368401,351340,364059,186244,177815,253575,130266,123309,110484,55978,54506,46.57798986,43.85601501,75.17288642,50.84512428,47.6118087,56.32438559,39.49881047,37.09862699,64.68180618
3,Amravati,2888445,1480768,1407677,1851158,950633,900525,1037287,530135,507152,506374,259398,246976,346056,178148,167908,160318,81250,79068,44.43064005,42.20011965,70.22446903,49.2117379,46.53434028,53.03415185,36.82087343,34.80607083,59.62057791
4,Aurangabad,3701282,1924469,1776813,2081112,1081825,999287,1620170,842644,777526,539368,277228,262140,246659,126700,119959,292709,150528,142181,43.78007943,41.89852305,59.54394693,54.81352315,52.21400864,61.21474272,39.06897663,36.81152097,56.23738393
5,Bhandara,1200334,605520,594814,966503,487484,479019,233831,118036,115795,200372,100421,99951,155163,77939,77224,45209,22482,22727,39.88854934,36.96230656,64.88428281,43.71860375,40.0418833,49.11045219,31.04490929,29.21623831,53.65375184
6,Beed,2585049,1349106,1235943,2070751,1082978,987773,514298,266128,248170,351254,179777,171477,278869,143031,135838,72385,36746,35639,41.91795795,39.57471805,60.84285303,46.41993812,43.72741701,53.20289239,32.98311265,30.07646559,53.01057771
7,Buldhana,2586258,1337560,1248698,2037398,1055242,982156,548860,282318,266542,470895,241445,229450,395137,202996,192141,75758,38449,37309,49.24324053,46.67330163,71.77161614,52.84411565,49.86071108,59.83946859,38.02279408,35.32773109,60.15733457
8,Chandrapur,2204307,1123834,1080473,1428929,726106,702823,775378,397728,377650,348365,176898,171467,187643,95203,92440,160722,81695,79027,41.42227863,38.73574671,64.44711538,46.78541667,42.66666667,53.12698413,37.18410958,35.38425478,59.11434072
9,Dhule,2050862,1054031,996831,1479826,758916,720910,571036,295115,275921,127571,65068,62503,82299,42087,40212,45272,22981,22291,41.82995845,39.77011494,59.82977303,48.17195922,45.63398816,53.84453782,35.39222149,32.78871979,53.93939394
10,Gadchiroli,1072942,541328,531614,954909,481290,473619,118033,60038,57995,120745,61041,59704,101879,51541,50338,18866,9500,9366,40.08888329,36.55369021,69.32761087,43.49260713,39.48781495,49.67077315,29.62106615,26.90217391,58.72945358
11,Gondia,1322507,661554,660953,1096577,547934,548643,225930,113620,112310,175961,87434,88527,135393,67401,67992,40568,20033,20535,41.94055669,39.09346523,69.56822705,45.08592018,41.78936509,49.85088789,34.26852353,32.07616258,58.87445887
12,Hingoli,1177345,606294,571051,998612,514430,484182,178733,91864,86869,182565,93379,89186,161751,82844,78907,20814,10535,10279,47.5309119,44.25004153,73.33333333,50.49885975,47.06272378,59.18538384,34.60264901,30.01007049,60.93023256
13,Jalgaon,4229917,2197365,2032552,2887206,1500514,1386692,1342711,696851,645860,389273,199427,189846,267718,137458,130260,121555,61969,59586,45.26719044,42.9914108,62.53107345,50.76890167,47.91787062,57.39570164,38.64078782,36.16449972,55.6767728
14,Jalna,1959046,1011473,947573,1581617,817279,764338,377429,194194,183235,272266,138957,133309,226345,115749,110596,45921,23208,22713,48.36901726,46.19833305,65.64404287,52.29739282,49.76560713,59.05139546,38.60229505,35.83997344,55.6412729
15,Kolhapur,3876001,1980658,1895343,2645992,1348815,1297177,1230009,631843,598166,504461,253390,251071,355641,178623,177018,148820,74767,74053,49.8385486,47.38093665,57.51809822,52.63442522,49.66086232,58.138169,44.72891566,42.83227159,50.53097345
16,Latur,2454196,1273140,1181056,1829216,949707,879509,624980,323433,301547,480913,247918,232995,369609,190913,178696,111304,57005,54299,45.86882733,42.37772165,68.48806001,49.89139115,46.01241309,58.30801944,37.09958217,33.58726934,59.24396442
17,Mumbai,12442373,6715931,5726442,0,0,0,12442373,6715931,5726442,803236,411855,391381,0,0,0,803236,411855,391381,45.495,46.36,54.37,0,0,0,45.49,46.36,54.37
18,Nagpur,4653570,2384975,2268595,1474811,758357,716454,3178759,1626618,1552141,867713,439205,428508,234062,119694,114368,633651,319511,314140,37.95097266,36.73844631,55.10628171,48.42832528,45.63574478,52.28404158,35.46611968,34.45392466,52.58636964
19,Nanded,3361292,1730075,1631217,2447394,1258160,1189234,913898,471915,441983,640483,328797,311686,473434,243159,230275,167049,85638,81411,40.47404715,37.22281558,69.20849421,45.47397917,41.76560625,54.05754776,33.33951648,29.97491915,61.70442287
20,Nandurbar,1648295,833170,815125,1372821,687671,685150,275474,145499,129975,47985,24273,23712,30550,15453,15097,17435,8820,8615,37.34786413,33.97678681,62.13592233,41.86428039,38.10763889,50.11921793,32.18547562,28.65529774,56.24123422
21,Nashik,6107187,3157186,2950001,3509814,1804712,1705102,2597373,1352474,1244899,554687,282213,272474,231171,117824,113347,323516,164389,159127,47.56569315,45.9551753,56.85602148,54.79642269,51.59126638,61.41363145,44.04560037,42.88163685,52.8772209
22,Osmanabad,1657576,861535,796041,1376519,716237,660282,281057,145298,135759,265184,136354,128830,221325,113813,107512,43859,22541,21318,47.67262551,44.73579771,64.82292579,50.76084488,47.50705206,57.96431468,38.18604651,35.25504449,55.91168091
23,Parbhani,1836086,942870,893216,1266280,651886,614394,569806,290984,278822,247308,125883,121425,172674,88291,84383,74634,37592,37042,43.42911223,41.10764431,66.63031625,50.73048123,48.10218978,57.40226052,36.06799704,33.08207705,59.97572816
24,Pune,9429408,4924105,4505303,3678226,1903440,1774786,5751182,3020665,2730517,1180703,602755,577948,361029,185088,175941,819674,417667,402007,46.27726131,45.17660068,53.88379403,51.3443299,49.12224705,55.39895166,44.664336,43.80993094,51.77280962
25,Raigad,2634200,1344345,1289855,1664005,836996,827009,970195,507349,462846,134952,67980,66972,64338,31985,32353,70614,35995,34619,39.77040264,39.70994191,49.2735495,50.6227758,50.61154599,50.64006024,34.55439547,34.17210314,45.70840304
26,Ratnagiri,1615069,761121,853948,1351346,630213,721133,263723,130908,132815,66948,31967,34981,57524,27217,30307,9424,4750,4674,45.32807309,45.28743707,53.31680099,49.51410061,49.02612827,50.25113609,34.21052632,34.68104223,45.54973822
27,Sangli,2822143,1435728,1386415,2102786,1071124,1031662,719357,364604,354753,353093,177108,175985,252350,126946,125404,100743,50162,50581,50.27291379,48.46944027,54.86116253,52.59788422,50.0677364,57.26258534,45.73734912,45.01302083,49.66408269
28,Satara,3003741,1510842,1492899,2433363,1219749,1213614,570378,291093,279285,323236,161703,161533,247575,123808,123767,75661,37895,37766,50.05780504,48.48265738,54.28939199,53.12335651,51.25366928,56.40461497,42.96339704,41.47661384,46.62600826
