district_code,district_name,sjsa_schemes_total_received_2020_21,sjsa_schemes_total_received_2021_22,sjsa_schemes_total_received_2022_23,sjsa_schemes_total_received_total,sjsa_schemes_total_distributed_2020_21,sjsa_schemes_total_distributed_2021_22,sjsa_schemes_total_distributed_2022_23,sjsa_schemes_total_distributed_total,sjsa_schemes_22250281_received_2020_21,sjsa_schemes_22250281_received_2021_22,sjsa_schemes_22250281_received_2022_23,sjsa_schemes_22250281_received_total,sjsa_schemes_22250281_distributed_2020_21,sjsa_schemes_22250281_distributed_2021_22,sjsa_schemes_22250281_distributed_2022_23,sjsa_schemes_22250281_distributed_total,sjsa_schemes_22250352_received_2020_21,sjsa_schemes_22250352_received_2021_22,sjsa_schemes_22250352_received_2022_23,sjsa_schemes_22250352_received_total,sjsa_schemes_22250352_distributed_2020_21,sjsa_schemes_22250352_distributed_2021_22,sjsa_schemes_22250352_distributed_2022_23,sjsa_schemes_22250352_distributed_total,sjsa_schemes_22253262_received_2020_21,sjsa_schemes_22253262_received_2021_22,sjsa_schemes_22253262_received_2022_23,sjsa_schemes_22253262_received_total,sjsa_schemes_22253262_distributed_2020_21,sjsa_schemes_22253262_distributed_2021_22,sjsa_schemes_22253262_distributed_2022_23,sjsa_schemes_22253262_distributed_total,sjsa_schemes_22253342_received_2020_21,sjsa_schemes_22253342_received_2021_22,sjsa_schemes_22253342_received_2022_23,sjsa_schemes_22253342_received_total,sjsa_schemes_22253342_distributed_2020_21,sjsa_schemes_22253342_distributed_2021_22,sjsa_schemes_22253342_distributed_2022_23,sjsa_schemes_22253342_distributed_total,sjsa_schemes_2225d117_received_2020_21,sjsa_schemes_2225d117_received_2021_22,sjsa_schemes_2225d117_received_2022_23,sjsa_schemes_2225d117_received_total,sjsa_schemes_2225d117_distributed_2020_21,sjsa_schemes_2225d117_distributed_2021_22,sjsa_schemes_2225d117_distributed_2022_23,sjsa_schemes_2225d117_distributed_total
1,Ahmednagar,3913975,4602874,4506218,13023066,82713.65,91600.84,154803,329117.5,36442.002,51280.47,87299.08,175021.552,18221.001,25640.235,43649.54,87510.776,1817,None,9646.4,11463.4,0,None,0,0,630,650,595,1875,0,0,0,0,18421.902,12184.23,55289.76,85895.892,13491.289,11046.14,44074.42,68611.849,20925.944,19845.59,34518.18,75289.714,0,0,0,0
2,Akola,2594063,2860111,3032332,8486506,37207.85,54116.92,73172.03,164496.8,16482.104,32269.256,41307.44,90058.8,8241.052,16134.628,20630.77,45006.45,684.65,None,2860.068,3544.718,0,None,0,0,325,580,435,1340,0,0,0,0,8903.716,15904.33,29174.7,53982.746,6818.634,11409.46,21543.46,39771.554,22090.76,25186.26,46928.92,94205.94,0,0,0,0
3,Amravati,6378459,7112160,8471565,21962184,1768734,2077337,3210253,7056325,100428.776,158644.729,215513.4,474586.905,80452.615,131279.686,176339.1,388071.401,5234.16,None,13882.6,19116.76,3431.86,None,10842.2,14274.06,5300,6380,5100,16780,3790,4475,3895,12160,77801.862,108917.4,304578.1,491297.362,73971.963,103899.4,291051.7,468923.063,209441.691,226340.2,390297.5,826079.391,165799.067,179004.5,312840.2,657643.767
4,Aurangabad,5046628,6559030,9085322,20690979,2394566,3092911,4750548,10238025,75576.746,124190.263,204782.5,404549.509,59121.321,95586.067,156968.9,311676.288,25477.945,2268.529,81808.15,109554.624,18499.24,2268.529,46113.15,66880.919,1205,3245,2890,7340,910,2175,1905,4990,55592.353,95740.17,250775.6,402108.123,52353.809,86676.08,238755.3,377785.189,80582.362,95760.42,153022.3,329365.082,72281.137,85365.01,139220,296866.147
5,Bhandara,2305618,2419834,2512044,7237496,28735.7,34734.96,47424.53,110895.2,21458.059,22448.871,29262.56,73169.49,9881.324,10877.051,16683.63,37442.005,2309.938,None,2013.347,4323.285,0,None,0,0,50,455,130,635,0,0,0,0,5954.728,8328.164,12508.47,26791.362,5603.842,8264.684,12465.83,26334.356,7698.983,7685.813,11329.42,26714.216,0,0,0,0
6,Beed,3867169,5236179,6229358,15332706,47660.88,60303.83,86397.72,194362.4,27781.054,43412.922,60796.22,131990.196,13890.527,21460.611,30368.84,65719.978,7365.58,2268.529,1143.38,10777.489,0,0,0,0,80,70,105,255,0,0,0,0,12356.645,12461.36,33753.56,58571.565,9917.508,9797.576,23707.56,43422.644,21331.488,25451.39,39627.64,86410.518,0,0,0,0
7,Buldhana,3903851,4143870,4336158,12383878,66239.5,91412.42,120284.4,277936.3,33022.658,72638.542,85024.77,190685.97,16511.329,36319.271,42512.39,95342.99,629.32,None,2262.515,2891.835,0,None,0,0,330,1070,1015,2415,0,0,0,0,12137.088,9280.304,26951.15,48368.542,8838.524,9280.304,23837.06,41955.888,28730.043,31072.61,60440.67,120243.323,0,0,0,0
8,Chandrapur,3199827,3621529,3267067,10088423,50901.45,221279.1,83358.82,355539.4,15223.178,17690.172,26579.54,59492.89,7611.589,8845.086,13289.77,29746.445,205.04,None,474.3,679.34,0,None,0,0,350,1415,150,1915,0,0,0,0,11357.591,10676.74,24852.26,46886.591,8977.851,8868.205,19899.83,37745.886,15136.194,20566.41,26498.14,62200.744,0,0,0,0
9,Dhule,1667756,1943254,1984314,5595324,27723.95,28064.26,41201.71,96989.92,8705.536,9587.276,16552.15,34844.962,828,4793.638,8276.074,13897.712,None,None,203.5,203.5,None,None,0,0,520,200,235,955,0,0,0,0,4150.125,1661.058,10844.69,16655.873,1241,1661.058,8132.668,11034.726,10864.664,11016.07,22908.61,44789.344,0,0,0,0
10,Gadchiroli,1519235,1693640,1637259,4850135,44639.5,42985.27,59929.23,147554,5548.732,4428.926,12433.35,22411.008,2774.366,2214.463,6216.677,11205.506,None,None,219.95,219.95,None,None,0,0,145,625,100,870,0,0,0,0,10015.027,11054.87,17565.96,38635.857,7397.474,8599.596,13019.69,29016.76,11717.486,12195.16,18950.34,42862.986,0,0,0,0
