district_code,district_name,population_all_persons_total,population_all_males_total,population_all_females_total,population_all_persons_rural,population_all_males_rural,population_all_females_rural,population_all_persons_urban,population_all_males_urban,population_all_females_urban,population_sc_persons_total,population_sc_males_total,population_sc_females_total,population_sc_persons_rural,population_sc_males_rural,population_sc_females_rural,population_sc_persons_urban,population_sc_males_urban,population_sc_females_urban,adr_persons_total,adr_males_total,adr_females_total,adr_persons_rural,adr_males_rural,adr_females_rural,adr_persons_urban,adr_males_urban,adr_females_urban
1,Amritsar,2490656.00,1318408.00,1172248.00,1156045.00,607266.00,548779.00,1334611.00,711142.00,623469.00,531678.00,277401.00,254277.00,311336.00,161835.00,149501.00,220342.00,115566.00,104776.00,64.01,65.18,62.18,72.42,72.92,71.51,56.70,57.71,55.28
2,Barnala,595527.00,317522.00,278005.00,404842.00,215210.00,189632.00,190685.00,102312.00,88373.00,132884.00,70241.00,62643.00,92353.00,48890.00,43463.00,40531.00,21351.00,19180.00,66.36,68.46,62.91,69.74,71.80,66.16,60.09,61.85,57.51
3,Bathinda,1388525.00,743197.00,645328.00,889308.00,474484.00,414824.00,499217.00,268713.00,230504.00,314717.00,165202.00,149515.00,224053.00,117874.00,106179.00,90664.00,47328.00,43336.00,59.18,61.21,55.83,66.24,67.96,63.16,50.88,52.71,48.15
4,Faridkot,617508.00,326671.00,290837.00,400457.00,210782.00,189675.00,217051.00,115889.00,101162.00,166413.00,87390.00,79023.00,117865.00,62152.00,55713.00,48548.00,25238.00,23310.00,59.08,60.60,56.61,65.03,66.62,62.14,50.87,51.41,50.11
5,Fatehgarh Sahib,600163.00,320795.00,279368.00,414681.00,220050.00,194631.00,185482.00,100745.00,84737.00,139573.00,73432.00,66141.00,111744.00,58686.00,53058.00,27829.00,14746.00,13083.00,60.00,60.65,59.04,63.56,64.22,62.59,49.81,50.03,49.51
6,Firozpur,2029074.00,1071637.00,957437.00,1476518.00,776208.00,700310.00,552556.00,295429.00,257127.00,574758.00,296166.00,278592.00,474814.00,244173.00,230641.00,99944.00,51993.00,47951.00,58.92,58.99,58.76,61.54,60.98,62.85,50.79,51.89,49.07
7,Gurdaspur,2298323.00,1212617.00,1085706.00,1639004.00,855784.00,783220.00,659319.00,356833.00,302486.00,415609.00,215515.00,200094.00,307784.00,159416.00,148368.00,107825.00,56099.00,51726.00,58.77,59.56,57.63,63.03,63.84,61.81,49.93,50.18,49.59
8,Hoshiarpur,1586625.00,809057.00,777568.00,1251656.00,634470.00,617186.00,334969.00,174587.00,160382.00,411141.00,206020.00,205121.00,342017.00,170530.00,171487.00,69124.00,35490.00,33634.00,56.31,56.89,55.59,58.74,59.47,57.84,46.25,46.17,46.36
9,Jalandhar,2193590.00,1145211.00,1048379.00,1032419.00,528790.00,503629.00,1161171.00,616421.00,544750.00,634426.00,324143.00,310283.00,379096.00,191680.00,187416.00,255330.00,132463.00,122867.00,54.55,55.09,53.93,58.69,59.34,57.94,49.94,50.44,49.35
10,Kapurthala,815168.00,426311.00,388857.00,532706.00,275932.00,256774.00,282462.00,150379.00,132083.00,198880.00,102370.00,96510.00,150705.00,77501.00,73204.00,48175.00,24869.00,23306.00,57.31,58.08,56.35,62.23,63.10,61.17,47.82,48.48,47.00
11,Ludhiana,3498739.00,1867816.00,1630923.00,1429031.00,753444.00,675587.00,2069708.00,1114372.00,955336.00,665631.00,350032.00,315599.00,401996.00,210000.00,191996.00,263635.00,140032.00,123603.00,57.83,59.43,55.65,61.79,63.48,59.45,52.98,54.41,51.05
12,Mansa,769751.00,408732.00,361019.00,606147.00,322184.00,283963.00,163604.00,86548.00,77056.00,177394.00,93199.00,84195.00,148885.00,78360.00,70525.00,28509.00,14839.00,13670.00,61.75,62.78,59.74,64.71,65.21,63.66,52.91,54.70,50.09
13,Moga,995746.00,525920.00,469826.00,768500.00,405704.00,362796.00,227246.00,120216.00,107030.00,250661.00,132691.00,117970.00,211697.00,112186.00,99511.00,38964.00,20505.00,18459.00,63.28,65.47,60.02,65.02,67.19,61.72,55.82,57.73,53.25
14,Muktsar,901896.00,475622.00,426274.00,649705.00,342202.00,307503.00,252191.00,133420.00,118771.00,260382.00,136357.00,124025.00,200703.00,105257.00,95446.00,59679.00,31100.00,28579.00,58.62,59.84,56.34,62.71,63.42,61.25,51.42,52.89,49.12
15,Patiala,1895686.00,1002522.00,893164.00,1132406.00,598800.00,533606.00,763280.00,403722.00,359558.00,324391.00,168571.00,155820.00,240591.00,125239.00,115352.00,83800.00,43332.00,40468.00,57.53,58.73,55.56,66.00,66.22,65.57,45.16,46.47,43.37
16,Rupnagar,684627.00,357485.00,327142.00,506820.00,264089.00,242731.00,177807.00,93396.00,84411.00,131590.00,68134.00,63456.00,100166.00,51964.00,48202.00,31424.00,16170.00,15254.00,56.15,57.36,54.37,61.46,62.33,60.10,44.01,45.04,42.69
17,Sahibzada Ajit Singh Nagar,994628.00,529253.00,465375.00,450017.00,240984.00,209033.00,544611.00,288269.00,256342.00,153092.00,80218.00,72874.00,93293.00,48956.00,44337.00,59799.00,31262.00,28537.00,53.90,54.93,52.37,66.12,66.39,65.69,42.08,43.00,40.83
18,Sangrur,1655169.00,878029.00,777140.00,1139204.00,604653.00,534551.00,515965.00,273376.00,242589.00,323344.00,169741.00,153603.00,253470.00,133640.00,119830.00,69874.00,36101.00,33773.00,61.07,62.41,58.72,65.19,66.19,63.30,50.61,51.89,48.72
19,Shahid Bhagat Singh Nagar,612310.00,313291.00,299019.00,486894.00,248118.00,238776.00,125416.00,65173.00,60243.00,193146.00,96788.00,96358.00,157976.00,78853.00,79123.00,35170.00,17935.00,17235.00,56.60,56.91,56.23,58.35,58.67,57.99,49.49,49.82,49.09
20,Tarn Taran,1119627.00,589369.00,530258.00,977832.00,514322.00,463510.00,141795.00,75047.00,66748.00,247472.00,129021.00,118451.00,222130.00,115856.00,106274.00,25342.00,13165.00,12177.00,72.79,74.20,69.86,74.86,75.97,72.47,59.83,62.06,56.15
